"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Adam Eaton","Nationals","137","614","536","152","30","4","11","82","56","58","110","10","13","7","",".284",".363",".419",".782",".340","","107","1.8","0.9","","7.0","-5.9","2.1","","153.1","11205"
"Matt Olson","Athletics","138","580","501","117","23","1","31","76","85","69","149","5","2","1","",".234",".329",".472",".801",".340","","114","-0.5","0.3","","9.2","-11.2","1.8","","123.0","14344"
"Justin Upton","Angels","144","614","540","134","28","1","31","81","91","65","179","4","11","6","",".248",".330",".472",".803",".340","","115","1.1","-3.5","","12.3","-10.7","2.3","","49.1","5222"
"Avisail Garcia","White Sox","134","570","516","146","24","3","20","67","74","41","125","7","5","4","",".282",".341",".456",".796",".339","","112","-0.5","-2.9","","7.8","-9.7","1.8","","198.7","5760"
"David Dahl","Rockies","34","137","126","35","7","1","5","17","18","9","32","1","3","2","",".282",".331",".467",".798",".339","","92","0.1","0.0","","-1.4","-1.6","0.1","","240.4","13744"
"Josh Reddick","Astros","120","492","442","123","23","2","17","62","65","43","70","1","6","3","",".277",".340",".453",".794",".338","","114","1.2","0.7","","9.6","-5.3","2.1","","277.8","3892"
"Jesse Winker","Reds","102","443","385","106","20","1","12","54","45","48","73","4","4","3","",".275",".358",".422",".780",".337","","105","-0.2","-1.5","","2.7","-8.1","0.9","","320.7","13590"
"Curtis Granderson","Blue Jays","87","363","310","74","16","2","15","47","45","45","84","4","4","2","",".239",".340",".447",".786",".336","","108","0.2","-1.3","","3.9","-5.3","1.1","","458.5","4747"
"Starling Marte","Pirates","134","596","540","155","30","4","16","77","64","33","119","14","30","12","",".287",".342",".443",".785",".336","","106","2.1","-1.1","","7.0","1.2","2.7","","49.3","9241"
"Jose Martinez","Cardinals","89","367","329","93","17","1","10","42","46","32","70","2","4","2","",".283",".348",".435",".782",".335","","107","-0.3","-0.9","","2.9","-7.7","0.7","","258.4","7996"
"Max Kepler","Twins","121","486","433","114","25","3","17","59","64","44","92","4","6","3","",".263",".333",".455",".789",".335","","106","1.0","0.8","","4.9","-5.3","1.6","","289.5","12144"
"David Peralta","Diamondbacks","121","529","477","133","27","4","15","67","60","40","99","5","7","4","",".279",".339",".445",".784",".335","","99","0.4","-1.5","","0.1","-7.6","1.0","","266.0","2136"
