"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Josh Harrison","Pirates","127","554","509","140","31","3","11","64","56","27","90","11","12","6","",".276",".325",".416",".741",".318","","95","0.9","-1.7","","-2.8","0.4","1.5","","268.6","8202"
"Matt Chapman","Athletics","139","566","502","114","25","3","26","68","76","53","164","4","6","4","",".226",".303",".444",".747",".317","","98","0.6","5.7","","-0.8","8.1","2.7","","283.8","16505"
"Jeimer Candelario","Tigers","132","539","481","120","29","3","15","59","62","48","116","4","2","1","",".250",".321",".415",".736",".316","","94","-0.1","-1.8","","-4.2","-0.1","1.4","","339.4","13621"
"Miguel Andujar","Yankees","70","272","251","67","13","1","9","32","34","14","45","2","3","2","",".266",".310",".429",".739",".315","","94","0.1","0.0","","-1.9","1.2","0.9","","408.0","15878"
"Cheslor Cuthbert","Royals","98","407","370","97","21","1","11","45","45","29","77","2","2","1","",".263",".318",".414",".732",".315","","93","-0.9","-0.3","","-4.3","-6.9","0.3","","575.6","10473"
"Tommy La Stella","Cubs","29","116","102","27","6","0","2","13","11","11","19","1","1","1","",".263",".342",".376",".718",".315","","90","-0.2","-0.4","","-1.6","-2.4","0.0","","685.9","12371"
"Eduardo Escobar","Twins","93","367","335","87","18","3","11","42","45","24","72","3","3","2","",".259",".311",".428",".739",".314","","92","0.3","-4.0","","-3.4","-0.1","0.9","","444.5","6153"
"Martin Prado","Marlins","82","358","327","90","18","1","7","39","35","24","49","3","1","1","",".274",".326",".399",".725",".312","","92","-1.3","0.8","","-5.0","2.2","0.9","","554.3","3312"
"Trevor Plouffe","Rangers","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".314",".413",".728",".312","","88","0.0","0.0","","0.0","0.0","0.0","","684.4","7462"
"Jhonny Peralta","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".315",".410",".726",".312","","91","0.0","0.0","","0.0","0.0","0.0","","999.0","1738"
"Cody Asche","Royals","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".313",".404",".717",".308","","89","0.0","0.0","","0.0","0.0","0.0","","688.0","11997"
"Colin Moran","Pirates","101","409","371","96","17","1","11","41","46","31","88","3","3","2","",".259",".318",".398",".716",".308","","88","-0.4","-0.5","","-6.5","1.3","0.8","","406.8","16909"
"J.P. Crawford","Phillies","128","509","439","103","18","3","11","51","51","62","97","2","6","4","",".235",".330",".370",".700",".308","","87","-0.2","-5.1","","-9.0","1.2","0.9","","373.0","15491"
"Ryon Healy","Mariners","109","439","410","106","20","1","16","48","56","21","101","3","1","1","",".258",".296",".429",".725",".308","","94","-0.5","-1.4","","-4.0","-10.2","0.1","","221.7","15447"
"Pat Valaika","Rockies","59","229","213","55","12","1","7","24","29","11","54","1","3","2","",".259",".297",".428",".725",".308","","71","0.2","0.2","","-8.2","-2.1","-0.3","","576.1","14885"
"Drew Robinson","Rangers","44","174","152","35","7","1","5","20","19","19","51","1","4","2","",".229",".315",".394",".709",".308","","85","-0.1","-0.7","","-3.3","-2.3","0.0","","651.0","11761"
"Adonis Garcia","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".269",".304",".418",".723",".308","","88","0.0","0.0","","0.0","0.0","0.0","","666.3","13777"
"Matt Duffy","Rays","88","369","337","90","16","2","7","38","38","24","59","3","6","3","",".267",".320",".388",".708",".307","","92","-0.2","2.8","","-3.9","4.5","1.3","","451.0","13836"
"Greg Garcia","Cardinals","61","232","200","51","10","1","3","22","21","26","47","3","3","1","",".252",".343",".348",".692",".307","","88","0.3","-0.6","","-3.3","-2.9","0.1","","677.8","10951"
"Chase Headley","Padres","108","440","388","96","19","1","10","42","44","42","102","5","4","2","",".247",".326",".377",".703",".307","","90","-0.4","0.9","","-6.0","2.0","1.0","","410.8","4720"
"Brian Anderson","Marlins","62","250","225","55","11","1","7","25","28","19","56","3","1","1","",".246",".310",".399",".710",".306","","88","0.1","-0.3","","-3.8","-2.1","0.2","","541.5","18289"
"Ryan Schimpf","Braves","23","94","82","16","3","0","5","11","12","10","31","1","0","0","",".200",".293",".418",".711",".304","","84","0.2","-0.5","","-1.7","-1.1","0.0","","667.0","9953"
"Rio Ruiz","Braves","41","160","141","33","7","1","5","16","18","15","40","1","1","1","",".236",".312",".391",".703",".304","","84","0.0","0.2","","-3.2","-1.0","0.1","","670.6","14103"
"J.D. Davis","Astros","26","101","92","22","4","0","4","12","13","7","28","1","1","1","",".236",".294",".418",".713",".304","","90","-0.1","0.0","","-1.3","-2.5","0.0","","668.8","16219"
"Johan Camargo","Braves","114","442","410","111","24","2","8","40","47","22","79","3","2","1","",".271",".311",".399",".710",".303","","84","0.1","2.4","","-8.9","3.7","0.9","","438.4","14950"
"Conor Gillaspie","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".303",".408",".711",".303","","85","0.0","0.0","","0.0","0.0","0.0","","999.0","9009"
