"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Daniel Descalso","Diamondbacks","47","188","163","39","8","2","4","20","20","21","41","2","2","1","",".238",".327",".383",".711",".309","","82","0.1","-1.1","","-4.2","-3.4","-0.1","","648.3","8392"
"Dansby Swanson","Braves","129","514","453","116","24","2","9","50","51","51","103","3","5","3","",".257",".334",".384",".718",".308","","87","0.5","-2.0","","-8.0","4.5","1.3","","381.3","18314"
"J.P. Crawford","Phillies","128","509","439","103","18","3","11","51","51","62","97","2","6","4","",".235",".330",".370",".700",".308","","87","-0.2","-5.1","","-9.0","1.2","0.9","","373.0","15491"
"Pat Valaika","Rockies","59","229","213","55","12","1","7","24","29","11","54","1","3","2","",".259",".297",".428",".725",".308","","71","0.2","0.2","","-8.2","-2.1","-0.3","","576.1","14885"
"Greg Garcia","Cardinals","61","232","200","51","10","1","3","22","21","26","47","3","3","1","",".252",".343",".348",".692",".307","","88","0.3","-0.6","","-3.3","-2.9","0.1","","677.8","10951"
"Ehire Adrianza","Twins","32","122","109","29","6","1","2","14","12","9","21","1","4","2","",".262",".324",".380",".704",".306","","86","0.1","0.1","","-2.0","1.3","0.4","","686.0","8418"
"Orlando Arcia","Brewers","139","551","503","132","24","3","14","56","61","37","96","3","14","8","",".262",".313",".405",".717",".305","","82","-0.2","-0.1","","-12.7","6.8","1.2","","182.9","13185"
"Alex Blandino","Reds","6","26","23","5","1","0","1","3","3","3","6","0","0","0","",".237",".319",".376",".695",".304","","83","0.0","0.0","","-0.6","0.2","0.0","","999.0","sa602521"
"Shawn O'Malley","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".261",".327",".366",".692",".304","","69","0.0","0.0","","0.0","0.0","0.0","","999.0","9629"
"Ivan De Jesus","Red Sox","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".268",".327",".368",".695",".303","","83","0.0","0.0","","0.0","0.0","0.0","","999.0","9886"
"Johan Camargo","Braves","114","442","410","111","24","2","8","40","47","22","79","3","2","1","",".271",".311",".399",".710",".303","","84","0.1","2.4","","-8.9","3.7","0.9","","438.4","14950"
"Jose Iglesias","Tigers","124","483","444","121","26","1","6","50","46","27","57","5","9","5","",".273",".319",".381",".699",".303","","85","-0.2","3.7","","-9.2","9.9","1.7","","529.0","10231"
"Gleyber Torres","Yankees","78","301","269","66","13","1","7","34","32","25","69","2","9","6","",".247",".314",".381",".695",".302","","85","-0.6","0.0","","-6.1","1.3","0.6","","290.3","sa830372"
"Ruben Tejada","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".256",".325",".363",".688",".301","","84","0.0","0.0","","0.0","0.0","0.0","","999.0","5519"
"Jose Peraza","Reds","122","515","479","133","20","4","7","53","46","24","67","5","22","10","",".278",".317",".379",".696",".301","","81","0.8","-1.5","","-11.8","4.6","0.9","","208.8","13593"
"Jose Reyes","Mets","62","266","240","60","11","2","6","29","25","21","41","1","9","4","",".249",".309",".387",".696",".300","","86","0.4","-1.7","","-4.4","-2.4","0.2","","328.7","1736"
"Chris Owings","Diamondbacks","52","211","196","51","12","2","4","22","23","11","45","1","6","3","",".262",".303",".400",".703",".300","","76","0.3","-0.5","","-6.1","-2.2","-0.2","","244.3","10030"
"Max Moroff","Pirates","9","38","32","7","1","0","1","4","4","5","10","0","1","0","",".225",".324",".355",".679",".300","","83","0.0","0.1","","-0.9","0.2","0.1","","702.0","14556"
"Daniel Robertson","Rays","67","260","228","55","10","2","5","26","24","25","60","4","2","1","",".240",".321",".359",".681",".300","","87","-0.2","0.7","","-4.4","1.4","0.6","","679.3","14145"
"Chad Pinder","Athletics","99","401","370","91","19","2","12","43","47","21","109","5","4","2","",".246",".293",".406",".699",".299","","86","-0.8","0.1","","-7.9","-3.0","0.3","","450.9","15191"
"Daniel Castro","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".282",".319",".374",".693",".299","","66","0.0","0.0","","0.0","0.0","0.0","","999.0","15450"
"Dixon Machado","Tigers","90","364","328","86","16","2","4","37","32","28","60","3","7","3","",".261",".322",".358",".680",".298","","82","-0.5","1.6","","-8.7","3.3","0.7","","560.0","11472"
"Christian Arroyo","Rays","45","187","173","45","9","0","4","18","19","10","34","2","2","1","",".260",".304",".384",".688",".296","","84","-0.1","0.2","","-3.7","1.2","0.4","","535.4","16434"
"Miguel Rojas","Marlins","58","224","203","54","11","1","2","19","20","16","27","2","2","1","",".266",".323",".360",".684",".296","","81","-0.2","0.4","","-5.7","1.1","0.3","","688.5","7802"
"Tim Anderson","White Sox","137","579","549","145","26","4","14","61","60","19","143","3","14","7","",".264",".290",".402",".692",".295","","82","0.3","-4.9","","-12.6","2.0","0.9","","196.5","15172"
"Taylor Motter","Mariners","28","106","96","23","5","0","3","12","12","8","22","1","4","2","",".236",".299",".383",".682",".295","","85","0.0","-0.1","","-2.1","0.1","0.2","","623.0","12399"
"Dawel Lugo","Tigers","44","181","170","45","7","1","4","18","19","8","25","1","1","1","",".263",".296",".389",".685",".294","","78","0.0","0.0","","-4.8","0.9","0.2","","999.0","sa659207"
"Domingo Leyba","Diamondbacks","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".257",".304",".371",".675",".292","","71","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736654"
"Allen Cordoba","Padres","12","46","41","10","1","0","1","4","4","3","10","1","1","1","",".241",".302",".372",".675",".292","","80","0.0","0.3","","-1.2","0.0","0.0","","693.8","15722"
"Willy Adames","Rays","8","32","29","7","1","0","1","3","3","3","8","0","1","0","",".235",".311",".350",".661",".291","","81","0.0","0.0","","-0.8","0.4","0.1","","479.4","sa736655"
"Wilmer Difo","Nationals","61","237","216","56","9","2","3","22","23","15","45","2","6","3","",".259",".310",".366",".676",".291","","74","0.3","1.5","","-7.5","1.6","0.2","","451.1","14320"
"Derrik Gibson","Rockies","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".313",".349",".662",".290","","60","0.0","0.0","","-0.1","0.0","0.0","","999.0","sa456041"
