"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Joey Votto","Reds","146","640","511","151","29","1","28","94","88","117","102","6","4","2","",".295",".429",".521",".949",".399","","146","-3.6","-0.4","","34.0","-12.6","4.2","","19.0","4314"
"Anthony Rizzo","Cubs","146","633","528","149","32","3","33","97","101","82","93","18","7","5","",".283",".394",".544",".938",".392","","141","-1.4","6.0","","32.2","-6.1","4.6","","25.3","3473"
"Paul Goldschmidt","Diamondbacks","146","637","526","152","32","3","29","94","93","100","141","6","16","7","",".289",".405",".524",".929",".388","","134","0.7","5.0","","28.7","-7.2","4.2","","6.5","9218"
"Freddie Freeman","Braves","139","605","510","148","32","2","30","87","92","82","127","8","7","4","",".291",".394",".539",".933",".387","","139","-0.1","3.4","","30.4","-8.2","4.2","","21.4","5361"
"Rhys Hoskins","Phillies","139","598","516","136","23","2","37","84","98","69","127","7","4","3","",".263",".355",".530",".885",".372","","128","0.4","0.1","","22.3","-7.7","3.4","","49.2","16472"
"Miguel Cabrera","Tigers","124","539","470","135","26","1","24","72","80","60","107","4","1","1","",".288",".371",".503",".874",".367","","128","-4.1","-0.3","","14.7","-10.9","2.2","","96.1","1744"
"Jose Abreu","White Sox","142","617","559","164","31","3","30","82","96","41","118","12","2","1","",".293",".351",".523",".874",".365","","130","-1.8","-2.4","","21.2","-14.3","2.8","","40.6","15676"
"Edwin Encarnacion","Indians","143","610","516","130","23","1","35","88","100","84","125","5","2","1","",".252",".360",".505",".865",".365","","127","-2.6","-0.3","","17.5","-16.4","2.2","","56.9","2151"
"Carlos Santana","Phillies","138","594","494","126","25","2","28","81","81","90","95","4","4","2","",".255",".372",".483",".855",".364","","123","-0.8","1.1","","17.1","-10.5","2.6","","171.4","2396"
"Matt Carpenter","Cardinals","128","571","472","123","31","2","18","80","64","86","119","6","3","2","",".261",".380",".453",".833",".359","","122","0.1","-1.8","","16.2","-9.6","2.5","","186.9","8090"
"Brandon Belt","Giants","135","565","476","125","30","4","20","71","74","79","136","4","4","3","",".262",".369",".465",".833",".357","","122","-0.5","7.8","","15.7","-3.5","3.0","","302.2","10264"
"Joey Gallo","Rangers","138","568","479","109","18","3","37","81","92","77","196","6","6","3","",".227",".338",".510",".849",".356","","119","1.2","-0.4","","14.2","-11.8","2.2","","108.5","14128"
"Cody Bellinger","Dodgers","138","587","513","129","23","2","36","81","97","66","147","4","10","6","",".252",".339",".515",".854",".354","","121","0.2","2.7","","15.8","-8.8","2.6","","25.6","15998"
"Gregory Bird","Yankees","118","485","421","106","22","1","26","66","73","55","107","4","2","1","",".252",".342",".491",".833",".353","","120","-0.6","-2.1","","11.2","-11.9","1.6","","149.4","14131"
"Eric Thames","Brewers","119","508","437","110","21","2","26","69","73","58","138","7","6","3","",".251",".346",".488",".834",".352","","113","-0.7","-1.3","","7.8","-11.7","1.2","","205.9","3711"
"Eric Hosmer","Padres","145","624","556","158","29","1","25","75","84","61","113","2","4","3","",".284",".354",".473",".827",".352","","119","-1.0","1.0","","14.6","-11.0","2.4","","79.1","3516"
"Lucas Duda","Royals","93","390","334","83","19","1","20","52","55","45","97","6","1","1","",".247",".345",".487",".832",".350","","117","-0.6","-0.3","","7.6","-8.4","1.3","","408.3","2502"
"Josh Bell","Pirates","143","610","535","146","26","4","22","74","82","66","106","3","5","4","",".273",".354",".461",".814",".347","","113","-2.2","-3.9","","8.4","-15.8","1.2","","186.2","13145"
"Ryan Zimmerman","Nationals","115","477","431","116","24","1","24","60","74","38","107","3","2","1","",".269",".330",".490",".820",".346","","111","-0.2","-3.6","","6.3","-13.2","0.8","","141.5","4220"
"Hanley Ramirez","Red Sox","98","410","364","97","19","1","19","54","62","38","85","4","3","2","",".268",".342",".476",".818",".345","","112","-1.5","-2.5","","4.3","-11.0","0.7","","321.8","8001"
"Justin Bour","Marlins","122","519","458","121","21","1","25","64","75","54","109","3","1","1","",".264",".342",".480",".822",".344","","113","-2.2","1.4","","6.5","-8.8","1.4","","199.8","9744"
"Yonder Alonso","Indians","134","559","487","131","27","1","20","71","74","63","106","3","3","2","",".270",".354",".452",".806",".344","","112","-1.6","0.8","","6.9","-10.3","1.6","","284.6","2530"
"Justin Smoak","Blue Jays","139","593","517","128","25","1","30","79","88","67","142","4","1","1","",".248",".337",".474",".811",".344","","113","-2.0","0.9","","7.8","-10.8","1.7","","154.3","9054"
"Yulieski Gurriel","Astros","119","483","448","132","31","1","16","60","68","24","58","5","3","2","",".294",".335",".476",".811",".343","","117","-0.5","-4.1","","9.7","-13.7","1.3","","237.6","19198"
"Pedro Alvarez","Orioles","8","32","29","7","1","0","2","4","5","3","9","0","0","0","",".254",".319",".500",".819",".343","","113","0.0","0.0","","0.5","-0.9","0.1","","708.8","2495"
"Chris Davis","Orioles","127","528","451","103","18","1","31","70","78","67","181","5","2","1","",".228",".331",".477",".808",".341","","112","0.5","1.0","","8.2","-10.4","1.6","","248.4","9272"
"Wil Myers","Padres","141","611","534","134","26","3","27","77","81","67","156","5","17","8","",".251",".337",".464",".801",".341","","113","0.6","-2.8","","10.4","-10.1","2.0","","65.9","10047"
