Name,Points,Value
Manuel Margot,291.0,14.314256537761409
Brad Hand,290.0,14.221906495582303
Willie Calhoun,290.0,14.221906495582303
Jay Bruce,290.0,14.221906495582303
Dexter Fowler,290.0,14.221906495582303
Kevin Gausman,289.0,14.129556453403197
Danny Duffy,288.0,14.03720641122409
Alex Colome,287.0,13.944856369044984
Kyle Hendricks,287.0,13.944856369044984
Jeurys Familia,287.0,13.944856369044984
Luke Weaver,286.0,13.85250632686588
Ketel Marte,284.0,13.667806242507668
David Peralta,284.0,13.667806242507668
Rafael Devers,282.0,13.483106158149456
Danny Salazar,282.0,13.483106158149456
Ian Desmond,281.0,13.39075611597035
Trey Mancini,281.0,13.39075611597035
Ryan Zimmerman,280.0,13.298406073791245
Carlos Gonzalez,279.0,13.206056031612139
Lance McCullers,279.0,13.206056031612139
Brandon Crawford,279.0,13.206056031612139
Ben Zobrist,279.0,13.206056031612139
Jackie Bradley Jr.,279.0,13.206056031612139
Kelvin Herrera,279.0,13.206056031612139
Todd Frazier,279.0,13.206056031612139
Nick Markakis,278.0,13.113705989433033
Eric Thames,278.0,13.113705989433033
Salvador Perez,277.0,13.021355947253927
Michael Fulmer,277.0,13.021355947253927
Zack Cozart,277.0,13.021355947253927
Willson Contreras,276.0,12.92900590507482
Wade Davis,276.0,12.92900590507482
Albert Pujols,276.0,12.92900590507482
Chris Taylor,275.0,12.836655862895716
Starlin Castro,275.0,12.836655862895716
Max Kepler,274.0,12.74430582071661
Clayton Richard,274.0,12.74430582071661
Jason Kipnis,274.0,12.74430582071661
Luis Castillo,273.0,12.651955778537504
Stephen Piscotty,273.0,12.651955778537504
Josh Harrison,273.0,12.651955778537504
Cole Hamels,273.0,12.651955778537504
Kendrys Morales,272.0,12.559605736358398
Jose Berrios,270.0,12.374905652000187
Michael Conforto,270.0,12.374905652000187
Archie Bradley,269.0,12.282555609821081
Drew Pomeranz,269.0,12.282555609821081
Dustin Pedroia,268.0,12.190205567641975
Orlando Arcia,268.0,12.190205567641975
Sean Doolittle,267.0,12.097855525462869
Dan Straily,267.0,12.097855525462869
J.T. Realmuto,266.0,12.005505483283763
Byron Buxton,266.0,12.005505483283763
Trevor Story,265.0,11.913155441104657
Asdrubal Cabrera,265.0,11.913155441104657
Mitch Haniger,264.0,11.82080539892555
Tanner Roark,263.0,11.728455356746444
Kyle Schwarber,262.0,11.636105314567338
Jason Heyward,261.0,11.543755272388232
Joe Musgrove,261.0,11.543755272388232
Alex Wood,261.0,11.543755272388232
Dinelson Lamet,260.0,11.451405230209126
Jedd Gyorko,260.0,11.451405230209126
Melky Cabrera,259.0,11.359055188030021
Matt Chapman,258.0,11.266705145850915
Ian Happ,257.0,11.17435510367181
Matt Joyce,256.0,11.082005061492703
Miguel Sano,256.0,11.082005061492703
Kevin Pillar,256.0,11.082005061492703
Jeimer Candelario,254.0,10.897304977134493
Charlie Morton,253.0,10.804954934955386
Fernando Rodney,253.0,10.804954934955386
Javier Baez,253.0,10.804954934955386
Paul DeJong,253.0,10.804954934955386
Tim Beckham,252.0,10.71260489277628
Sean Newcomb,252.0,10.71260489277628
Cody Allen,252.0,10.71260489277628
Jorge Polanco,251.0,10.620254850597174
Chris Davis,251.0,10.620254850597174
Aaron Hicks,251.0,10.620254850597174
Nick Delmonico,251.0,10.620254850597174
Kolten Wong,251.0,10.620254850597174
Cam Bedrosian,251.0,10.620254850597174
Jose Peraza,250.0,10.527904808418068
Chase Anderson,250.0,10.527904808418068
Addison Russell,250.0,10.527904808418068
Andrew Miller,249.0,10.435554766238964
Hunter Pence,249.0,10.435554766238964
Arodys Vizcaino,247.0,10.250854681880751
Jonathan Lucroy,247.0,10.250854681880751
Shane Greene,246.0,10.158504639701645
Luiz Gohara,246.0,10.158504639701645
Hanley Ramirez,245.0,10.066154597522539
Zack Godley,245.0,10.066154597522539
Delino DeShields,245.0,10.066154597522539
Yadier Molina,244.0,9.973804555343435
Corey Dickerson,243.0,9.881454513164329
Brandon Phillips,243.0,9.881454513164329
Dylan Bundy,243.0,9.881454513164329
Jake Faria,243.0,9.881454513164329
Felix Hernandez,241.0,9.696754428806116
Julio Teheran,240.0,9.60440438662701
Marwin Gonzalez,240.0,9.60440438662701
Sean Manaea,239.0,9.512054344447904
Jesse Winker,239.0,9.512054344447904
Logan Morrison,239.0,9.512054344447904
Jordy Mercer,238.0,9.4197043022688
Marco Estrada,237.0,9.327354260089692
Jose Iglesias,237.0,9.327354260089692
Evan Gattis,235.0,9.14265417573148
Kenta Maeda,234.0,9.050304133552373
Mark Melancon,234.0,9.050304133552373
Jordan Montgomery,233.0,8.957954091373269
Scott Schebler,233.0,8.957954091373269
Billy Hamilton,233.0,8.957954091373269
Scooter Gennett,232.0,8.865604049194163
Randal Grichuk,232.0,8.865604049194163
Ryan McMahon,232.0,8.865604049194163
Jorge Soler,231.0,8.773254007015057
Yoan Moncada,231.0,8.773254007015057
Hector Neris,230.0,8.68090396483595
Mike Leake,229.0,8.588553922656844
Brandon McCarthy,229.0,8.588553922656844
J.P. Crawford,229.0,8.588553922656844
Victor Martinez,229.0,8.588553922656844
Anthony DeSclafani,228.0,8.49620388047774
Juan Minaya,227.0,8.403853838298634
Jason Vargas,227.0,8.403853838298634
Tyler Anderson,226.0,8.311503796119528
Blake Treinen,226.0,8.311503796119528
Tim Anderson,225.0,8.219153753940422
Adam Duvall,225.0,8.219153753940422
Chad Kuhl,224.0,8.126803711761315
Patrick Corbin,223.0,8.03445366958221
Ivan Nova,223.0,8.03445366958221
Dansby Swanson,222.0,7.942103627403104
Wilmer Flores,222.0,7.942103627403104
Luke Gregerson,221.0,7.849753585223999
Troy Tulowitzki,221.0,7.849753585223999
Mitch Moreland,221.0,7.849753585223999
Adam Frazier,219.0,7.665053500865787
Lucas Duda,219.0,7.665053500865787
Aaron Altherr,219.0,7.665053500865787
Mike Foltynewicz,219.0,7.665053500865787
Hyun-Jin Ryu,217.0,7.480353416507575
Albert Almora Jr.,217.0,7.480353416507575
Tyler Skaggs,217.0,7.480353416507575
Ryan Madson,215.0,7.295653332149363
German Marquez,215.0,7.295653332149363
Miles Mikolas,215.0,7.295653332149363
C.J. Cron,214.0,7.203303289970257
Chris Stratton,214.0,7.203303289970257
Alex Reyes,213.0,7.1109532477911515
Wilson Ramos,213.0,7.1109532477911515
Brad Ziegler,212.0,7.018603205612045
Tyler Chatwood,212.0,7.018603205612045
Devon Travis,211.0,6.92625316343294
Jose Pirela,211.0,6.92625316343294
Jonathan Villar,211.0,6.92625316343294
Zach Davies,210.0,6.833903121253834
Matt Shoemaker,210.0,6.833903121253834
Ronald Acuna,209.0,6.741553079074728
Kyle Gibson,209.0,6.741553079074728
Ervin Santana,208.0,6.6492030368956225
Bradley Zimmer,207.0,6.556852994716516
Joc Pederson,206.0,6.46450295253741
Amed Rosario,205.0,6.372152910358305
Alex Gordon,203.0,6.187452826000094
Jakob Junis,203.0,6.187452826000094
Steven Matz,202.0,6.0951027838209875
Dominic Leone,202.0,6.0951027838209875
Blake Parker,201.0,6.002752741641881
Ian Kennedy,201.0,6.002752741641881
Mark Trumbo,201.0,6.002752741641881
Ryon Healy,200.0,5.910402699462775
Wilmer Font,199.0,5.818052657283669
Matt Andriese,199.0,5.818052657283669
Ubaldo Jimenez,199.0,5.818052657283669
Luis Perdomo,199.0,5.818052657283669
Alex Claudio,198.0,5.725702615104563
Lonnie Chisenhall,198.0,5.725702615104563
Alex Cobb,197.0,5.633352572925458
Cheslor Cuthbert,196.0,5.5410025307463515
Kendall Graveman,196.0,5.5410025307463515
Denard Span,196.0,5.5410025307463515
Jason Hammel,196.0,5.5410025307463515
Yolmer Sanchez,194.0,5.35630244638814
Nathan Eovaldi,194.0,5.35630244638814
Jose Martinez,194.0,5.35630244638814
Alcides Escobar,194.0,5.35630244638814
Johan Camargo,194.0,5.35630244638814
Curtis Granderson,194.0,5.35630244638814
